"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.11.2023";"26";"14114";"9410";"5963";"194";"5144";"13083";"22053"
"02.11.2023";"32";"11673";"7440";"6117";"107";"4810";"12332";"21302"
"03.11.2023";"0";"8735";"4721";"7900";"188";"8359";"17495";"26465"
"04.11.2023";"0";"5505";"3165";"2776";"26";"9750";"12919";"21889"
"05.11.2023";"0";"2617";"860";"295";"7";"11949";"12454";"21424"
"06.11.2023";"0";"8821";"2804";"2934";"137";"12269";"19336";"28306"
"07.11.2023";"0";"4557";"1342";"994";"20";"17332";"20050";"29020"
"08.11.2023";"0";"9495";"4291";"4103";"368";"14961";"21995";"30965"
"09.11.2023";"0";"5150";"2705";"2295";"50";"13950";"16941";"25911"
"10.11.2023";"0";"6429";"3080";"2680";"92";"16139";"20570";"29540"
"11.11.2023";"0";"5613";"2635";"2315";"46";"13807";"17329";"26299"
"12.11.2023";"0";"11697";"6817";"6009";"178";"11345";"19914";"28884"
"13.11.2023";"0";"1224";"75";"311";"2";"17871";"18245";"27215"
"14.11.2023";"0";"2624";"854";"581";"6";"18994";"19893";"28863"
"15.11.2023";"0";"6379";"3313";"2836";"67";"11696";"15819";"24789"
"16.11.2023";"0";"2540";"600";"300";"1";"20737";"21719";"30689"
"17.11.2023";"0";"7401";"2458";"2401";"30";"17941";"23505";"32475"
"18.11.2023";"0";"2194";"872";"591";"2";"22194";"22704";"31674"
"19.11.2023";"0";"4341";"1270";"944";"15";"11164";"13700";"22670"
"20.11.2023";"0";"5068";"1614";"1231";"43";"16279";"19458";"28428"
"21.11.2023";"0";"2723";"327";"307";"3";"16349";"17812";"26782"
"22.11.2023";"0";"12291";"6439";"5747";"172";"13965";"23249";"32219"
"23.11.2023";"0";"262";"554";"312";"0";"20426";"19673";"28643"
"24.11.2023";"0";"4020";"1208";"1276";"17";"19453";"22124";"31094"
"25.11.2023";"0";"2620";"1147";"867";"7";"19893";"20808";"29778"
"26.11.2023";"0";"2485";"1243";"811";"11";"17083";"17883";"26853"
"27.11.2023";"0";"888";"857";"575";"2";"25246";"24741";"33711"
"28.11.2023";"0";"247";"573";"309";"0";"32476";"31750";"40720"
"29.11.2023";"0";"769";"916";"578";"9";"31520";"30987";"39957"
"30.11.2023";"0";"8552";"5637";"5275";"223";"20345";"26419";"35389"
