"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.12.2023";"0";"804";"786";"591";"1";"29765";"29127";"38097"
"02.12.2023";"0";"7030";"3766";"3272";"28";"19590";"24487";"33457"
"03.12.2023";"0";"8145";"3653";"3168";"45";"21037";"27126";"36096"
"04.12.2023";"0";"2842";"692";"293";"6";"31736";"32829";"41799"
"05.12.2023";"0";"3445";"284";"306";"13";"21572";"23539";"32509"
"06.12.2023";"0";"1017";"671";"291";"0";"31250";"30796";"39766"
"07.12.2023";"0";"12894";"7141";"6800";"79";"11526";"21889";"30859"
"08.12.2023";"0";"1373";"635";"285";"2";"22520";"22346";"31316"
"09.12.2023";"0";"3566";"1086";"947";"12";"13485";"15585";"24555"
"10.12.2023";"0";"2851";"1670";"1212";"29";"16731";"17786";"26756"
"11.12.2023";"0";"1482";"670";"289";"0";"20794";"20602";"29572"
"12.12.2023";"0";"5647";"2506";"2451";"50";"15637";"19738";"28708"
"13.12.2023";"0";"2660";"953";"583";"8";"19324";"20238";"29208"
"14.12.2023";"0";"256";"616";"306";"0";"19745";"19026";"27996"
"15.12.2023";"0";"2052";"517";"294";"0";"21373";"21945";"30915"
"16.12.2023";"0";"3442";"272";"305";"2";"21744";"23953";"32923"
"17.12.2023";"0";"4740";"1570";"1289";"53";"21595";"24597";"33567"
"18.12.2023";"0";"4323";"1367";"1073";"46";"23000";"25673";"34643"
"19.12.2023";"0";"1068";"927";"574";"2";"21719";"21392";"30362"
"20.12.2023";"0";"567";"664";"308";"0";"24644";"23779";"32749"
"21.12.2023";"0";"463";"324";"304";"0";"19137";"18878";"27848"
"22.12.2023";"0";"1027";"864";"590";"15";"20142";"19579";"28549"
"23.12.2023";"0";"203";"511";"311";"0";"23149";"22493";"31463"
"24.12.2023";"0";"640";"701";"313";"0";"21410";"20497";"29467"
"25.12.2023";"0";"836";"602";"291";"0";"16406";"15952";"24922"
"26.12.2023";"0";"3577";"1369";"1396";"27";"11569";"13763";"22733"
"27.12.2023";"0";"2051";"892";"574";"13";"21544";"22015";"30985"
"28.12.2023";"0";"4045";"1017";"581";"7";"18900";"21177";"30147"
"29.12.2023";"0";"945";"233";"306";"0";"21055";"20942";"29912"
"30.12.2023";"0";"4796";"1533";"1336";"13";"18554";"21670";"30640"
"31.12.2023";"0";"2016";"909";"572";"18";"27796";"28243";"37213"
