"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.05.2024";"58";"34111";"7419";"7864";"17821";"454";"14477";"23447"
"02.05.2024";"66";"26392";"7850";"6569";"13756";"421";"9100";"18070"
"03.05.2024";"0";"8238";"2268";"8678";"298";"3914";"15642";"24612"
"04.05.2024";"82";"28973";"11269";"2272";"10016";"4045";"11683";"20653"
"05.05.2024";"78";"25985";"7092";"7038";"11272";"805";"12733";"21703"
"06.05.2024";"61";"14602";"6751";"8107";"3130";"522";"10635";"19605"
"07.05.2024";"88";"30586";"8740";"5436";"13335";"760";"11962";"20932"
"08.05.2024";"82";"36837";"6897";"7091";"20926";"851";"14045";"23015"
"09.05.2024";"85";"39590";"8692";"7862";"19260";"1188";"17633";"26603"
"10.05.2024";"84";"41286";"5825";"5507";"26782";"214";"11489";"20459"
"11.05.2024";"82";"46095";"4660";"4509";"32773";"453";"10847";"19817"
"12.05.2024";"92";"48704";"5257";"3903";"33509";"447";"11470";"20440"
"13.05.2024";"84";"47274";"4091";"4645";"35873";"201";"9311";"18281"
"14.05.2024";"75";"52954";"4969";"5461";"33723";"370";"17165";"26135"
"15.05.2024";"83";"31071";"6110";"4938";"18175";"166";"9078";"18048"
"16.05.2024";"78";"30417";"6181";"6317";"16332";"565";"12036";"21006"
"17.05.2024";"87";"15592";"8614";"7040";"739";"438";"10999";"19969"
"18.05.2024";"71";"28842";"5360";"6782";"15128";"769";"13118";"22088"
"19.05.2024";"83";"29599";"6668";"5011";"17492";"511";"8330";"17300"
"20.05.2024";"77";"32449";"6814";"6953";"13954";"707";"16632";"25602"
"21.05.2024";"76";"25068";"4992";"4732";"13914";"536";"8796";"17766"
"22.05.2024";"87";"26508";"8662";"7024";"11414";"591";"11374";"20344"
"23.05.2024";"85";"47043";"4024";"3951";"34446";"576";"10334";"19304"
"24.05.2024";"9";"11206";"4773";"11833";"317";"722";"15785";"24755"
"25.05.2024";"82";"31437";"13811";"5924";"8855";"2247";"14089";"23059"
"26.05.2024";"56";"35186";"6889";"9205";"18047";"567";"17159";"26129"
"27.05.2024";"57";"29141";"8570";"8001";"10335";"719";"16141";"25111"
"28.05.2024";"78";"34095";"10142";"7429";"14066";"662";"15167";"24137"
"29.05.2024";"80";"21715";"8443";"7731";"5881";"610";"12906";"21876"
"30.05.2024";"73";"28228";"7738";"7918";"11477";"510";"14559";"23529"
"31.05.2024";"74";"28462";"6906";"6464";"14844";"639";"11020";"19990"
