"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.01.2024";"0";"1800";"853";"585";"2";"21559";"21935";"30905"
"02.01.2024";"0";"847";"809";"590";"3";"22495";"22043";"31013"
"03.01.2024";"0";"2170";"863";"589";"9";"20239";"20963";"29933"
"04.01.2024";"0";"1349";"814";"583";"11";"20542";"20388";"29358"
"05.01.2024";"0";"2032";"843";"597";"3";"23080";"23513";"32483"
"06.01.2024";"0";"524";"704";"305";"0";"24876";"23968";"32938"
"07.01.2024";"0";"984";"609";"287";"0";"31486";"31140";"40110"
"08.01.2024";"0";"13174";"4324";"4224";"136";"24732";"35965";"44935"
"09.01.2024";"32";"16526";"14380";"9571";"9081";"31377";"39057";"48027"
"10.01.2024";"0";"7544";"8664";"12246";"5763";"34233";"47341";"56311"
"11.01.2024";"0";"15302";"7056";"6558";"177";"12806";"25606";"34576"
"12.01.2024";"0";"1142";"596";"310";"0";"33767";"33687";"42657"
"13.01.2024";"0";"912";"597";"311";"0";"24876";"24590";"33560"
"14.01.2024";"0";"93";"596";"310";"0";"33077";"32397";"41367"
"15.01.2024";"0";"5";"593";"310";"0";"26440";"25822";"34792"
"16.01.2024";"0";"2960";"385";"305";"16";"30714";"32671";"41641"
"17.01.2024";"0";"847";"592";"310";"0";"32175";"31940";"40910"
"18.01.2024";"0";"5229";"3817";"3090";"98";"24171";"27556";"36526"
"19.01.2024";"0";"1620";"604";"310";"1";"32657";"33079";"42049"
"20.01.2024";"0";"11199";"2676";"2775";"65";"20506";"30566";"39536"
"21.01.2024";"0";"3156";"638";"310";"5";"28743";"30426";"39396"
"22.01.2024";"0";"2924";"949";"785";"19";"18268";"19803";"28773"
"23.01.2024";"0";"6003";"2569";"1813";"76";"17381";"21149";"30119"
"24.01.2024";"0";"2563";"513";"303";"5";"16500";"17628";"26598"
"25.01.2024";"0";"6344";"3106";"2939";"47";"18124";"22871";"31841"
"26.01.2024";"0";"4118";"2586";"1949";"76";"20349";"22592";"31562"
"27.01.2024";"63";"17058";"10582";"3128";"48";"10593";"18391";"27361"
"28.01.2024";"0";"19236";"10996";"17428";"330";"4552";"27267";"36237"
"29.01.2024";"19";"12008";"6460";"3797";"113";"7690";"15008";"23978"
"30.01.2024";"0";"5521";"1629";"3603";"55";"11757";"17393";"26363"
"31.01.2024";"0";"2123";"645";"304";"2";"19245";"19727";"28697"
