"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.07.2023";"";"";"";"";"";"";"";""
"02.07.2023";"";"";"";"";"";"";"";""
"03.07.2023";"";"";"";"";"";"";"";""
"04.07.2023";"";"";"";"";"";"";"";""
"05.07.2023";"";"";"";"";"";"";"";""
"06.07.2023";"";"";"";"";"";"";"";""
"07.07.2023";"";"";"";"";"";"";"";""
"08.07.2023";"";"";"";"";"";"";"";""
"09.07.2023";"";"";"";"";"";"";"";""
"10.07.2023";"";"";"";"";"";"";"";""
"11.07.2023";"";"";"";"";"";"";"";""
"12.07.2023";"";"";"";"";"";"";"";""
"13.07.2023";"";"";"";"";"";"";"";""
"14.07.2023";"";"";"";"";"";"";"";""
"15.07.2023";"";"";"";"";"";"";"";""
"16.07.2023";"";"";"";"";"";"";"";""
"17.07.2023";"";"";"";"";"";"";"";""
"18.07.2023";"";"";"";"";"";"";"";""
"19.07.2023";"";"";"";"";"";"";"";""
"20.07.2023";"";"";"";"";"";"";"";""
"21.07.2023";"";"";"";"";"";"";"";""
"22.07.2023";"";"";"";"";"";"";"";""
"23.07.2023";"";"";"";"";"";"";"";""
"24.07.2023";"";"";"";"";"";"";"";""
"25.07.2023";"";"";"";"";"";"";"";""
"26.07.2023";"89";"15028";"10234";"1854";"164";"158";"4933";"13903"
"27.07.2023";"48";"11067";"4578";"9830";"267";"438";"13297";"22267"
"28.07.2023";"78";"22319";"13202";"8173";"851";"894";"13678";"22648"
"29.07.2023";"76";"21043";"9344";"9139";"1419";"1559";"17454";"26424"
"30.07.2023";"85";"18290";"8917";"7162";"246";"255";"13100";"22070"
"31.07.2023";"52";"10332";"5010";"8356";"126";"144";"10538";"19508"
