"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.10.2023";"67";"29746";"11110";"9745";"11720";"193";"13444";"22414"
"02.10.2023";"89";"24786";"10513";"7142";"7695";"139";"10524";"19494"
"03.10.2023";"22";"6829";"3107";"9987";"91";"119";"10860";"19830"
"04.10.2023";"56";"16457";"10548";"5244";"132";"3708";"11706";"20676"
"05.10.2023";"13";"13504";"5808";"9864";"162";"262";"14604";"23574"
"06.10.2023";"81";"27871";"11955";"4212";"8743";"3317";"11441";"20411"
"07.10.2023";"60";"21806";"8309";"9963";"8005";"172";"12462";"21432"
"08.10.2023";"0";"7050";"2970";"8489";"97";"1620";"11486";"20456"
"09.10.2023";"10";"13227";"7694";"5761";"149";"5197";"13756";"22726"
"10.10.2023";"72";"25687";"11813";"4780";"6995";"3124";"11753";"20723"
"11.10.2023";"67";"20793";"8388";"8241";"6857";"128";"10780";"19750"
"12.10.2023";"0";"4820";"1597";"8049";"74";"2862";"11603";"20573"
"13.10.2023";"12";"13497";"9412";"7648";"196";"5463";"14539";"23509"
"14.10.2023";"37";"15556";"9838";"6070";"190";"4446";"13055";"22025"
"15.10.2023";"18";"14544";"7112";"8740";"322";"4099";"16990";"25960"
"16.10.2023";"27";"16255";"9356";"7869";"270";"5488";"17156";"26126"
"17.10.2023";"65";"26277";"11565";"6893";"7247";"4487";"15625";"24595"
"18.10.2023";"65";"17772";"11763";"10390";"159";"176";"13152";"22122"
"19.10.2023";"2";"9214";"3325";"9786";"169";"2281";"14674";"23644"
"20.10.2023";"0";"3152";"614";"845";"12";"13656";"15413";"24383"
"21.10.2023";"72";"16300";"11797";"2258";"178";"5286";"9337";"18307"
"22.10.2023";"18";"7669";"3511";"9153";"162";"162";"10540";"19510"
"23.10.2023";"0";"12075";"5135";"6974";"92";"5194";"16391";"25361"
"24.10.2023";"0";"9100";"4058";"3604";"124";"7805";"14428";"23398"
"25.10.2023";"0";"3542";"724";"298";"7";"14676";"16062";"25032"
"26.10.2023";"0";"7860";"3325";"3405";"143";"9957";"15853";"24823"
"27.10.2023";"0";"3890";"1300";"937";"23";"14298";"16140";"25110"
"28.10.2023";"0";"10870";"5564";"5331";"189";"10502";"18968";"27938"
"29.10.2023";"0";"4970";"2699";"2319";"26";"12899";"15800";"24770"
"30.10.2023";"0";"10785";"5490";"4971";"99";"8619";"16586";"25556"
"31.10.2023";"0";"11362";"7219";"6587";"156";"7459";"15709";"24679"
