"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.02.2024";"12";"14304";"7537";"5851";"185";"10164";"20179";"29149"
"02.02.2024";"0";"13826";"6128";"6958";"107";"11444";"23774";"32744"
"03.02.2024";"0";"2235";"606";"309";"1";"21623";"22339";"31309"
"04.02.2024";"0";"1894";"606";"310";"1";"24510";"24859";"33829"
"05.02.2024";"0";"6686";"3609";"3416";"67";"11638";"16256";"25226"
"06.02.2024";"0";"1512";"615";"307";"2";"18522";"18471";"27441"
"07.02.2024";"0";"4061";"1905";"1214";"20";"19487";"21318";"30288"
"08.02.2024";"0";"2762";"601";"310";"1";"23722";"24793";"33763"
"09.02.2024";"0";"3872";"629";"286";"8";"11729";"13733";"22703"
"10.02.2024";"42";"12796";"8833";"3425";"47";"4810";"9785";"18755"
"11.02.2024";"0";"6606";"2890";"7518";"48";"3341";"11768";"20738"
"12.02.2024";"0";"8993";"3332";"3170";"145";"13949";"20541";"29511"
"13.02.2024";"0";"14701";"8177";"7139";"293";"7198";"18190";"27160"
"14.02.2024";"0";"3483";"383";"289";"9";"17649";"19658";"28628"
"15.02.2024";"0";"8733";"3573";"3622";"87";"11984";"18816";"27786"
"16.02.2024";"0";"3146";"754";"297";"11";"20564";"21810";"30780"
"17.02.2024";"0";"2427";"878";"497";"9";"14894";"15568";"24538"
"18.02.2024";"0";"3863";"1297";"1301";"19";"16713";"19098";"28068"
"19.02.2024";"0";"4024";"891";"677";"116";"18425";"20516";"29486"
"20.02.2024";"0";"8160";"3651";"3034";"99";"16900";"22422";"31392"
"21.02.2024";"0";"8774";"4068";"3863";"103";"12419";"19003";"27973"
"22.02.2024";"0";"6438";"2449";"2332";"133";"12072";"16422";"25392"
"23.02.2024";"0";"9267";"3164";"2698";"128";"15900";"22630";"31600"
"24.02.2024";"0";"9064";"5348";"5198";"166";"13939";"20721";"29691"
"25.02.2024";"0";"10962";"5441";"4589";"154";"10741";"18496";"27466"
"26.02.2024";"0";"6644";"1698";"1349";"42";"18394";"22926";"31896"
"27.02.2024";"62";"19344";"10962";"3520";"162";"12534";"21695";"30665"
"28.02.2024";"45";"19220";"10681";"12160";"119";"5218";"22446";"31416"
"29.02.2024";"34";"14469";"8696";"8969";"71";"3646";"14968";"23938"
