"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.08.2023";"84";"19449";"12324";"7419";"245";"274";"11112";"20082"
"02.08.2023";"86";"14724";"7447";"6497";"226";"290";"10592";"19562"
"03.08.2023";"62";"14563";"8509";"9964";"148";"389";"13007";"21977"
"04.08.2023";"96";"18249";"11107";"6843";"146";"206";"10547";"19517"
"05.08.2023";"91";"11829";"5416";"5493";"119";"110";"8610";"17580"
"06.08.2023";"71";"14105";"6510";"8178";"166";"210";"12555";"21525"
"07.08.2023";"92";"19101";"12551";"9255";"248";"260";"12393";"21363"
"08.08.2023";"78";"15457";"8849";"9631";"331";"393";"12926";"21896"
"09.08.2023";"87";"20559";"9779";"7970";"381";"427";"15435";"24405"
"10.08.2023";"86";"14275";"6582";"6155";"169";"173";"10575";"19545"
"11.08.2023";"87";"14140";"6399";"5670";"172";"272";"10266";"19236"
"12.08.2023";"92";"15837";"8379";"7132";"157";"150";"11275";"20245"
"13.08.2023";"95";"16991";"6390";"5427";"208";"262";"12826";"21796"
"14.08.2023";"90";"16435";"6390";"6456";"352";"447";"13284";"22254"
"15.08.2023";"93";"15618";"7702";"6549";"224";"265";"11277";"20247"
"16.08.2023";"91";"13615";"7480";"7078";"126";"130";"9957";"18927"
"17.08.2023";"76";"12133";"7068";"8274";"154";"214";"9983";"18953"
"18.08.2023";"93";"17993";"9142";"6451";"264";"242";"11996";"20966"
"19.08.2023";"83";"16166";"6955";"7411";"581";"598";"13322";"22292"
"20.08.2023";"91";"13242";"6712";"5197";"131";"113";"8494";"17464"
"21.08.2023";"82";"16899";"7651";"8141";"274";"266";"14123";"23093"
"22.08.2023";"93";"15472";"7737";"5888";"241";"233";"10289";"19259"
"23.08.2023";"90";"13514";"6384";"6122";"151";"134";"10039";"19009"
"24.08.2023";"81";"14492";"7500";"7853";"220";"251";"11721";"20691"
"25.08.2023";"95";"13751";"8512";"5996";"97";"117";"8083";"17053"
"26.08.2023";"93";"10031";"4910";"4451";"112";"128";"6443";"15413"
"27.08.2023";"94";"9668";"5395";"4677";"113";"164";"5978";"14948"
"28.08.2023";"94";"9826";"5345";"4796";"100";"109";"6233";"15203"
"29.08.2023";"93";"9859";"5452";"4857";"96";"103";"6191";"15161"
"30.08.2023";"94";"9996";"6013";"5311";"88";"192";"6263";"15233"
"31.08.2023";"90";"9728";"5649";"5362";"99";"120";"6494";"15464"
