"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.09.2023";"94";"10387";"5867";"4789";"72";"114";"6125";"15095"
"02.09.2023";"94";"9747";"5500";"4865";"102";"179";"6124";"15094"
"03.09.2023";"94";"9586";"5278";"4711";"98";"111";"5979";"14949"
"04.09.2023";"82";"42845";"5109";"5762";"30212";"164";"9847";"18817"
"05.09.2023";"89";"42359";"9010";"7539";"23729";"138";"13624";"22594"
"06.09.2023";"89";"41234";"7742";"7008";"23206";"151";"13545";"22515"
"07.09.2023";"80";"41406";"7271";"7627";"22502";"167";"15605";"24575"
"08.09.2023";"91";"41189";"6596";"4796";"26686";"77";"9039";"18009"
"09.09.2023";"93";"38676";"6510";"5538";"25681";"125";"8428";"17398"
"10.09.2023";"86";"35915";"5214";"5457";"25194";"55";"7402";"16372"
"11.09.2023";"87";"35303";"7775";"7038";"17466";"127";"13567";"22537"
"12.09.2023";"85";"28152";"6851";"6246";"15366";"133";"9000";"17970"
"13.09.2023";"38";"9925";"5099";"8566";"291";"225";"10293";"19263"
"14.09.2023";"92";"20131";"11556";"5736";"3125";"231";"8103";"17073"
"15.09.2023";"92";"29454";"6471";"5684";"18188";"605";"7825";"16795"
"16.09.2023";"93";"29937";"5829";"5099";"19572";"241";"6602";"15572"
"17.09.2023";"77";"28667";"5599";"6831";"17709";"134";"8926";"17896"
"18.09.2023";"85";"19978";"8679";"7002";"5735";"162";"9406";"18376"
"19.09.2023";"79";"25039";"7905";"8019";"10018";"138";"11894";"20864"
"20.09.2023";"76";"29143";"8630";"8216";"12070";"361";"13740";"22710"
"21.09.2023";"42";"15899";"8465";"11734";"852";"249";"15465";"24435"
"22.09.2023";"67";"21182";"12581";"8660";"3123";"294";"11112";"20082"
"23.09.2023";"63";"21376";"9913";"9572";"6394";"443";"11811";"20781"
"24.09.2023";"81";"37135";"10014";"7123";"20353";"148";"10499";"19469"
"25.09.2023";"86";"33729";"8145";"6973";"16115";"110";"13116";"22086"
"26.09.2023";"72";"28229";"7809";"8677";"12870";"122";"12996";"21966"
"27.09.2023";"69";"27136";"9542";"9106";"8688";"643";"15238";"24208"
"28.09.2023";"75";"19948";"10558";"9139";"2665";"431";"12934";"21904"
"29.09.2023";"71";"14886";"8858";"8076";"156";"178";"10988";"19958"
"30.09.2023";"62";"25687";"8647";"9461";"10883";"113";"12433";"21403"
