"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.03.2024";"69";"20986";"11106";"7461";"3672";"8110";"18710";"27680"
"02.03.2024";"90";"19232";"11117";"8174";"457";"325";"12746";"21716"
"03.03.2024";"70";"27244";"7912";"9587";"11329";"190";"14253";"23223"
"04.03.2024";"0";"2212";"6";"6990";"41";"10624";"17334";"26304"
"05.03.2024";"0";"4748";"1288";"861";"15";"17007";"19451";"28421"
"06.03.2024";"58";"18840";"11059";"4235";"165";"8154";"16999";"25969"
"07.03.2024";"4";"14947";"5918";"11125";"319";"3907";"20542";"29512"
"08.03.2024";"71";"32952";"11101";"3819";"9249";"9710";"22924";"31894"
"09.03.2024";"48";"30042";"10824";"12671";"9854";"273";"18602";"27572"
"10.03.2024";"29";"18440";"9458";"10228";"84";"3113";"18855";"27825"
"11.03.2024";"0";"3985";"130";"3165";"18";"15148";"20169";"29139"
"12.03.2024";"0";"5330";"1734";"1566";"43";"14730";"18086";"27056"
"13.03.2024";"0";"5596";"645";"536";"66";"15829";"19499";"28469"
"14.03.2024";"63";"31284";"11458";"4283";"12810";"5285";"13336";"22306"
"15.03.2024";"0";"12553";"7590";"13089";"360";"2755";"17295";"26265"
"16.03.2024";"0";"7743";"3067";"2758";"30";"11904";"17298";"26268"
"17.03.2024";"4";"20715";"6660";"6162";"171";"8605";"25625";"34595"
"18.03.2024";"19";"15111";"7122";"5187";"102";"4835";"15148";"24118"
"19.03.2024";"83";"21599";"11485";"4123";"3320";"5396";"13257";"22227"
"20.03.2024";"83";"21051";"3809";"3396";"12752";"2164";"7781";"16751"
"21.03.2024";"78";"21467";"7116";"7210";"10644";"530";"8858";"17828"
"22.03.2024";"53";"13726";"7211";"9403";"2430";"426";"11252";"20222"
"23.03.2024";"53";"20910";"11561";"10730";"2463";"2829";"17700";"26670"
"24.03.2024";"0";"9843";"3146";"8319";"650";"13239";"25409";"34379"
"25.03.2024";"68";"34186";"11712";"4138";"13266";"6853";"17971";"26941"
"26.03.2024";"73";"18555";"9869";"8684";"228";"631";"15136";"24106"
"27.03.2024";"0";"9216";"2955";"9706";"135";"2577";"15767";"24737"
"28.03.2024";"35";"17315";"10076";"6481";"999";"6395";"16845";"25815"
"29.03.2024";"3";"15157";"7221";"9611";"173";"4174";"18961";"27931"
"30.03.2024";"18";"10306";"4890";"3296";"46";"3721";"10255";"19225"
"31.03.2024";"91";"26047";"10834";"2711";"8980";"3078";"9913";"18883"
