"Zeitstempel";"Ladezustand";"Solarproduktion";"Batterie Laden";"Batterie Entladen";"Netzeinspeisung";"Netzbezug";"Hausverbrauch";"Abregelungsgrenze"
"01.06.2024";"85";"22146";"6382";"4862";"10228";"337";"8012";"16982"
"02.06.2024";"46";"11810";"4663";"8319";"182";"640";"13262";"22232"
"03.06.2024";"87";"18860";"11521";"6675";"1124";"697";"11023";"19993"
"04.06.2024";"89";"31065";"5954";"5297";"15241";"744";"13230";"22200"
"05.06.2024";"86";"24685";"6157";"6082";"11887";"656";"10693";"19663"
"06.06.2024";"85";"46608";"6037";"5853";"32071";"417";"11937";"20907"
"07.06.2024";"80";"48310";"4808";"4923";"34332";"479";"11745";"20715"
"08.06.2024";"87";"53628";"4675";"3667";"37367";"423";"12864";"21834"
"09.06.2024";"87";"56319";"3429";"3023";"42667";"609";"11102";"20072"
"10.06.2024";"77";"18857";"5083";"5844";"6229";"801";"11561";"20531"
"11.06.2024";"93";"35402";"8762";"6586";"15461";"535";"15472";"24442"
"12.06.2024";"85";"26983";"6807";"7172";"13825";"537";"11245";"20215"
"13.06.2024";"86";"47106";"6826";"6360";"31190";"623";"13252";"22222"
"14.06.2024";"85";"29483";"6889";"6659";"14063";"832";"13176";"22146"
"15.06.2024";"96";"38676";"4775";"3213";"26474";"759";"8784";"17754"
"16.06.2024";"90";"28152";"3309";"3660";"19967";"443";"6391";"15361"
"17.06.2024";"89";"37101";"3275";"3027";"28603";"476";"6126";"15096"
"18.06.2024";"88";"22131";"3667";"3574";"14377";"743";"5992";"14962"
"19.06.2024";"91";"32140";"3903";"3194";"23475";"570";"6067";"15037"
"20.06.2024";"91";"28075";"2918";"2663";"19762";"492";"5979";"14949"
"21.06.2024";"88";"22474";"3672";"3681";"14623";"540";"5914";"14884"
"22.06.2024";"86";"45702";"3778";"3740";"35353";"364";"7923";"16893"
"23.06.2024";"76";"43261";"5068";"5657";"25321";"617";"16387";"25357"
"24.06.2024";"83";"50152";"5383";"4340";"35929";"431";"10799";"19769"
"25.06.2024";"84";"54230";"4379";"3950";"38205";"415";"13131";"22101"
"26.06.2024";"82";"49410";"5237";"5044";"33571";"187";"12790";"21760"
"27.06.2024";"84";"46118";"5650";"5144";"30213";"114";"12573";"21543"
"28.06.2024";"89";"49585";"5339";"4470";"35091";"115";"10746";"19716"
"29.06.2024";"90";"45076";"4260";"3828";"35245";"50";"6621";"15591"
"30.06.2024";"74";"15421";"5381";"6515";"5602";"84";"8314";"17284"
